DC1_TotalEnergy, DC1_RenEnergy, DC2_TotalEnergy, DC2_RenEnergy, DC3_TotalEnergy, DC3_RenEnergy, DC4_TotalEnergy, DC4_RenEnergy,
7220.685, 3743.984, 7223.649, 3181.531, 7209.600, 3440.067, 7227.226, 3687.666, 
7231.917, 3645.605, 7210.457, 3535.763, 7208.178, 3464.565, 7230.607, 3365.813, 
7221.823, 3706.149, 7211.624, 3399.392, 7206.643, 3353.266, 7241.071, 3414.393, 
7227.088, 3688.364, 7209.617, 2449.476, 7206.057, 3247.157, 7238.407, 3955.156, 
7229.184, 3686.954, 7209.442, 2488.854, 7208.434, 3480.091, 7234.104, 3968.051, 
7226.519, 3255.993, 7206.118, 3373.624, 7207.040, 3348.024, 7241.483, 3924.179, 
7227.813, 3237.326, 7216.165, 3526.407, 7205.847, 3437.841, 7231.348, 3267.929, 
7207.775, 3556.339, 7222.508, 3809.786, 7209.113, 3461.830, 7241.761, 3364.117, 
7220.018, 3682.669, 7227.409, 3783.726, 7211.245, 3041.920, 7222.489, 3511.525, 
7215.253, 3610.287, 7220.330, 3864.988, 7204.337, 3547.831, 7241.238, 3248.413, 
7209.598, 3655.236, 7236.472, 3544.677, 7214.696, 3501.373, 7220.390, 3572.778, 
7217.296, 3633.775, 7224.995, 3201.088, 7210.770, 2659.977, 7228.098, 3205.709, 
7231.242, 3684.016, 7212.640, 2846.098, 7208.945, 3475.573, 7228.335, 3255.876, 
7226.096, 3687.890, 7216.812, 3255.246, 7211.443, 3514.475, 7226.802, 3293.995, 
7222.418, 3706.386, 7207.996, 3647.417, 7209.677, 3511.045, 7241.062, 3397.341, 
7223.502, 3697.842, 7220.774, 3144.471, 7209.650, 3487.772, 7227.237, 3366.287, 
7227.185, 3716.863, 7206.716, 2832.210, 7204.374, 3464.306, 7242.890, 3260.826, 
7227.628, 2867.434, 7213.453, 3323.626, 7211.393, 3541.594, 7228.682, 3158.089, 
7218.970, 3748.403, 7217.562, 3412.007, 7209.024, 3472.503, 7235.607, 3300.557, 
7224.084, 3058.111, 7218.653, 3405.678, 7212.095, 3385.319, 7226.330, 3478.674, 
7210.380, 3577.432, 7221.289, 3677.443, 7206.564, 3353.211, 7242.927, 3115.200, 
7217.269, 3630.085, 7217.371, 3746.859, 7207.865, 3546.157, 7238.652, 3367.728, 
7209.842, 3351.786, 7232.727, 3794.350, 7213.632, 3358.731, 7224.954, 3640.934, 
7211.471, 3265.386, 7229.764, 3590.866, 7208.958, 3310.585, 7230.967, 3642.393, 
7204.944, 3425.897, 7229.935, 3724.830, 7207.511, 3483.606, 7238.777, 3356.228, 
7215.134, 3616.408, 7228.362, 3001.803, 7212.871, 3403.034, 7224.788, 3459.832, 
7215.160, 3654.513, 7224.878, 2945.439, 7208.564, 3470.685, 7232.556, 3467.909, 
7229.653, 3484.561, 7212.479, 3595.433, 7207.855, 3320.911, 7231.178, 3418.444, 
7209.447, 3321.310, 7234.947, 3639.049, 7209.241, 3291.387, 7227.527, 3501.552, 
7213.709, 3651.204, 7222.773, 3731.565, 7206.169, 3301.508, 7238.514, 3063.769, 
