DC1,DC2,DC3,DC4
61.017,61.177,54.258,63.853
59.662,62.801,54.204,64.085
60.440,60.696,54.432,60.761
60.943,58.336,54.383,63.076
60.495,58.120,54.182,63.993
56.948,58.651,54.874,63.108
59.278,62.924,54.065,63.986
59.145,63.741,54.666,61.740
57.767,63.816,54.376,63.477
59.158,63.580,54.482,62.812
58.811,62.410,54.675,63.461
59.103,62.549,54.636,63.605
59.977,59.557,54.326,61.823
59.610,62.231,54.269,63.611
59.743,63.082,54.565,62.268
59.486,59.423,54.268,63.712
60.175,59.317,54.151,61.737
59.718,61.595,54.370,62.342
58.064,60.850,54.514,62.704
58.035,62.161,54.313,63.505
58.683,62.111,54.357,60.748
59.182,62.454,54.422,61.167
56.346,61.659,54.426,63.437
55.486,62.371,54.475,63.803
57.869,62.383,54.478,63.088
58.226,62.159,54.410,63.416
58.678,60.734,54.677,63.878
56.263,59.595,53.991,63.806
54.261,62.358,54.110,63.603
57.607,61.135,54.282,58.840
